"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @pinkvilla: Photos: Tamannaah Bhatia, Prabhudheva and Shruti Haasan at the special screening of F2 Fun And Frustration - https://t.co/r3…",FALSE,0,NA,2019-01-30 05:29:02,FALSE,NA,"1090481996726452224",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Anshshruti28",2,TRUE,FALSE,NA,NA
"2","RT @pinkvilla: Photos: Tamannaah Bhatia, Prabhudheva and Shruti Haasan at the special screening of F2 Fun And Frustration - https://t.co/r3…",FALSE,0,NA,2019-01-30 04:25:28,FALSE,NA,"1090465999466479617",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","PinkvillaSouth",2,TRUE,FALSE,NA,NA
"3","Photos: Tamannaah Bhatia, Prabhudheva and Shruti Haasan at the special screening of F2 Fun And Frustration -… https://t.co/AqYwxObMYJ",FALSE,16,NA,2019-01-30 04:24:12,TRUE,NA,"1090465681123041280",NA,"<a href=""http://www.pinkvilla.com"" rel=""nofollow"">PinkVilla</a>","pinkvilla",2,FALSE,FALSE,NA,NA
"4","RT @BengalNewzIndia: The late #Bollywood actor, #KaderKhan, has been named for #PadmaShri honour by the government, which will also confer…",FALSE,0,NA,2019-01-29 13:15:41,FALSE,NA,"1090237045002268673",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BengalNewzHindi",3,TRUE,FALSE,NA,NA
"5","RT @connectajitcpr: Prabhudheva on being conferred with #PadmaShri: I feel extremely honoured 

~Movies News https://t.co/N63oIzX5or",FALSE,0,NA,2019-01-29 08:33:59,FALSE,NA,"1090166151676682240",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GuruprasadK_",6,TRUE,FALSE,NA,NA
"6","Prabhudheva on being conferred with Padma Shri: Feel extremely honoured https://t.co/x7l53CAdnZ",FALSE,0,NA,2019-01-29 06:12:10,FALSE,NA,"1090130462436147200",NA,"<a href=""http://www.crowdfireapp.com"" rel=""nofollow"">Crowdfire Inc.</a>","DJDREK84",0,FALSE,FALSE,NA,NA
"7","#CharlieChaplin2 #Thalapathy Sneak Peek #Prabhudheva #NikkiGalrani
https://t.co/zdfvk4QPD9
#Rajinikanth #ThalaAjith… https://t.co/HGFV4m6Tgx",FALSE,0,NA,2019-01-29 06:03:36,TRUE,NA,"1090128304793968640",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","PhotoNews26",0,FALSE,FALSE,NA,NA
"8","RT @Iftykhan15: “I am working hard to ensure Dabangg 3 turns out as effective as the previous Dabangg films. Salman Khan and Arbaaz Khan ha…",FALSE,0,NA,2019-01-29 04:11:34,FALSE,NA,"1090100110870994945",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Erfan773",8,TRUE,FALSE,NA,NA
"9","RT @SalmanKhanHolic: <U+2605> @PDdancing gears for #Dabangg3! “I have five different projects in Tamil as an actor which are in various stages of…",FALSE,0,NA,2019-01-29 03:09:27,FALSE,NA,"1090084482051239936",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","insiyanadiadi",15,TRUE,FALSE,NA,NA
"10","RT @Vijaykarnataka: <U+0CA8><U+0C9F> <U+0CAA><U+0CCD><U+0CB0><U+0CAD><U+0CC1><U+0CA6><U+0CC7><U+0CB5><U+0CBE> <U+0C95><U+0CB0><U+0CCD><U+0CA8><U+0CBE><U+0C9F><U+0C95><U+0C95><U+0CCD><U+0C95><U+0CC6> <U+0C8F><U+0CA8><U+0CC1> <U+0CAE><U+0CBE><U+0CA1><U+0CBF><U+0CA6><U+0CCD><U+0CA6><U+0CBE><U+0CB0><U+0CC6>? <U+0C8E><U+0C82><U+0CA6> <U+0C9F><U+0CCD><U+0CB5><U+0CBF><U+0C9F><U+0CB0><U+0CBF><U+0C97><U+0CB0><U+0CC1>
   #ShivakumaraSwami https://t.co/FyyuezhPn2",FALSE,0,NA,2019-01-29 02:15:32,FALSE,NA,"1090070911749779456",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AkHaridas",9,TRUE,FALSE,NA,NA
"11","RT @connectajitcpr: Prabhudheva on being conferred with #PadmaShri: I feel extremely honoured 

~Movies News https://t.co/N63oIzX5or",FALSE,0,NA,2019-01-29 01:29:01,FALSE,NA,"1090059205170606080",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","STPIManjunathan",6,TRUE,FALSE,NA,NA
"12","RT @spiceofi: #KODAMBAKKAM: Prabhudheva extremely honored on being conferred Padma Shri award. https://t.co/mN7kMU5Jro",FALSE,0,NA,2019-01-29 00:27:00,FALSE,NA,"1090043597448269824",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","cindynaidoo3",1,TRUE,FALSE,NA,NA
"13","RT @SalmanKhanHolic: <U+2605> @PDdancing gears for #Dabangg3! “I have five different projects in Tamil as an actor which are in various stages of…",FALSE,0,NA,2019-01-28 21:05:02,FALSE,NA,"1089992771283369984",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Baheshta_S",15,TRUE,FALSE,NA,NA
"14","RT @mystery0725: Prabhudheva gears for #Dabangg3 || https://t.co/o7MHx5p2fo
#SalmanKhan",FALSE,0,NA,2019-01-28 18:06:02,FALSE,NA,"1089947723325788166",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SudhanshuSK14",28,TRUE,FALSE,NA,NA
"15","RT @mystery0725: Prabhudheva gears for #Dabangg3 || https://t.co/o7MHx5p2fo
#SalmanKhan",FALSE,0,NA,2019-01-28 18:02:42,FALSE,NA,"1089946885870239746",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mkd_mohsin",28,TRUE,FALSE,NA,NA
